OBJECTID,ID,Camera ID,Camera Type,Location,Source,Source_URL,Display_Type,View_Direction,Webcam_URL,PopUp_URL,Consolidated_URL,NearBy_Place,County,State,Elevation_Ft,Longitude,Latitude,GlobalID,Thumbnail URL,View Degrees,Tilt,Zoom,Field of View,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2,CreationDate,Creator,EditDate,Editor
11,,Axis-League221,Fire,League_22,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2715,,https://ops.alertcalifornia.org/,,Marin,,0,-122.765618,38.178775,0ae2658e-60b1-48ea-a9b1-940c3ea4c941,https://ops.alertcalifornia.org/cam-console/2715,165.12,0,134,43.67,,,3046441621.94141,267073.615525908,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
12,,Axis-AlisoLaguna2,Fire,Aliso_Laguna_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1783,,https://ops.alertcalifornia.org/,,Orange,,0,-117.755257,33.577641,38f79c5d-06ec-434c-bab6-11783aef603a,https://ops.alertcalifornia.org/cam-console/1783,60.07,0,1,61.54,,,3691713043.00391,279122.92434204,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
13,,Axis-UpperBear,Fire,Upper_Bear,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2471,,https://ops.alertcalifornia.org/,,Calaveras,,0,-120.725197,38.116901,90138904-ac59-4d1a-be10-26e631af354f,https://ops.alertcalifornia.org/cam-console/2471,498.79,0,1,62.81,,,3919923508.23438,288342.858268291,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
14,,Axis-Laguna2,Fire,Laguna_Peak_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2065,,https://ops.alertcalifornia.org/,,Ventura,,0,-119.0513,34.115898,191a4b4a-8b48-4636-ad34-bf5670a4dea4,https://ops.alertcalifornia.org/cam-console/2065,240.23,0,1,62.81,,,3730381706.10156,280916.775345447,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
15,,Axis-DuncanRanch1,Fire,Duncan_Ranch_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1947,,https://ops.alertcalifornia.org/,,Kern,,0,-120.17997,35.777916,6aab3bbe-a370-4a60-a361-08b00c47ee9e,https://ops.alertcalifornia.org/cam-console/1947,109.25,0,1,62.81,,,3810068188.71094,284773.270955655,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
16,,Axis-RocksRoad2,Fire,Rocks_Road_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2736,,https://ops.alertcalifornia.org/,,SanBenito,,0,-121.601609,36.853547,611c1dff-0790-4d1b-8b9d-36afa9e311b9,https://ops.alertcalifornia.org/cam-console/2736,59.48,0,1,61.54,,,3845878026.61719,285816.340046031,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
17,,Axis-BuenaVistaAmador1,Fire,Buena_Vista_Amador_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1863,,https://ops.alertcalifornia.org/,,Amador,,0,-120.893333,38.2607,07a7d5cf-942c-4e34-ac71-002ca8dd21c0,https://ops.alertcalifornia.org/cam-console/1863,325.28,0,1,61.54,,,3923000501.94141,288627.906149157,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
18,,Axis-PrairieRidge,Fire,Prairie_Peak,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/11136,,https://ops.alertcalifornia.org/,,Lane,,0,-123.59078,44.2796,4bb6b2ce-5fad-47c4-b14e-f1096095d8f2,https://ops.alertcalifornia.org/cam-console/11136,225.21,0,1,61.54,,,4252305229.42188,303292.120141392,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
19,,Axis-CactusPeak1,Fire,Cactus_Peak_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2606,,https://ops.alertcalifornia.org/,,LosAngeles,,0,-118.450303,33.338957,81f9846d-eacf-4351-8053-2b920e562edf,https://ops.alertcalifornia.org/cam-console/2606,6.22,0,1,61.54,,,3681484822.40625,277833.123482032,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
20,,Axis-ThumbMtn2,Fire,Thumb_Mtn_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2452,,https://ops.alertcalifornia.org/,,Kern,,0,-118.236443,35.274307,76a7ea2a-e250-4205-ba18-dc745deba8e5,https://ops.alertcalifornia.org/cam-console/2452,120.37,0,1,61.54,,,3738160439.99609,281129.930851149,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
21,,Axis-CummingsSkyway,Fire,Cummings_Skyway,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1923,,https://ops.alertcalifornia.org/,,ContraCosta,,0,-122.197517,38.028957,a2ac1530-48b8-4c3a-9b45-8a8d100547c2,https://ops.alertcalifornia.org/cam-console/1923,164.12,0,1,62.81,,,3917635839.0625,287274.105257139,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
22,,Axis-ShirleyPeak2,Fire,Shirley_Peak_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2379,,https://ops.alertcalifornia.org/,,Kern,,0,-118.559547,35.70573,5d75442d-5c10-4fa6-bd89-976793cadf9f,https://ops.alertcalifornia.org/cam-console/2379,-0.45,0,1,62.81,,,3833259666.82031,283541.99018004,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
23,,Axis-CaveJunction,Fire,Cave_Junction,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/11115,,https://ops.alertcalifornia.org/,,Josephine,,0,-123.64339,42.15653,70ea5e77-da47-4d6d-bfcf-77061287e3c8,https://ops.alertcalifornia.org/cam-console/11115,-0.77,0,1,61.54,,,4154568536.64844,297891.589988242,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
24,,Axis-WhitakerMiddlePeak2,Fire,Whitaker_Middle_Peak_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2605,,https://ops.alertcalifornia.org/,,LosAngeles,,0,-118.740117,34.569444,cd06dbeb-1f3d-4d5f-806d-9b1e2f6f14db,https://ops.alertcalifornia.org/cam-console/2605,101.47,0,1,65.33,,,3839486518.82031,287093.693974947,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
25,,Axis-ThunderValleyCasinoEast,Fire,Thunder_Valley_Casino_East,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1740,,https://ops.alertcalifornia.org/,,Placer,,0,-121.314133,38.840244,012b2726-5cf0-41cf-a119-dedf7d42bcc3,https://ops.alertcalifornia.org/cam-console/1740,114.86,0,9,60.06,,,3862013959.14063,286497.967907486,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
26,,Axis-WilliamsHill2,Fire,Williams_Hill_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2510,,https://ops.alertcalifornia.org/,,Monterey,,0,-121.001999,35.951,6424a37e-9132-4ae2-8c99-e18a44bcdbae,https://ops.alertcalifornia.org/cam-console/2510,120.38,0,1,61.54,,,3769532849.74609,282493.298008405,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
27,,Axis-RedwoodValley,Fire,Redwood_Valley_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2310,,https://ops.alertcalifornia.org/,,Mendocino,,0,-123.180298,39.309242,f9b58827-5bff-4500-9d78-6ae3a4b889ba,https://ops.alertcalifornia.org/cam-console/2310,69.26,0,1,62.81,,,4021112753.77344,294084.924862435,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
28,,Axis-PanocheMtn2,Fire,Panoche_Mtn_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2676,,https://ops.alertcalifornia.org/,,Fresno,,0,-120.764717,36.725592,5e5cc319-2926-45bb-990a-291febdacef8,https://ops.alertcalifornia.org/cam-console/2676,-0.45,0,1,62.81,,,3884153053.35156,285642.570394347,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
29,,Axis-DeerCanyon1,Fire,Anaheim_Deer_Canyon_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1786,,https://ops.alertcalifornia.org/,,Orange,,0,-117.806702,33.8578,261e650f-1baf-4a8b-afec-266777b6a1eb,https://ops.alertcalifornia.org/cam-console/1786,143.83,0,22,57.8,,,3535613357.48828,273149.784242242,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
30,,Axis-FishRockEast,Fire,Fish_Rock_East,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1975,,https://ops.alertcalifornia.org/,,Mendocino,,0,-123.530296,38.834,a59439bd-7e6a-4f96-bd5c-dac14b494746,https://ops.alertcalifornia.org/cam-console/1975,175.71,0,1,61.54,,,3915801815.37109,287718.347794312,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
31,,Axis-RedwoodCity2,Fire,Redwood_City_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/11096,,https://ops.alertcalifornia.org/,,SanMateo,,0,-122.230833,37.488056,87552721-b4c8-466a-8dcb-58dbf47a34ee,https://ops.alertcalifornia.org/cam-console/11096,240.59,0,1,61.54,,,3845142046.03125,285811.089734436,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
32,,Axis-Cambria1,Fire,Cambria_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2656,,https://ops.alertcalifornia.org/,,SanLuisObispo,,0,-121.060225,35.527944,8728eb0b-fd5e-4e8b-b294-bc1a4756952e,https://ops.alertcalifornia.org/cam-console/2656,327.84,0,1,61.54,,,3782914790.75781,282526.227945927,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
33,,Axis-BaldJesse,Fire,Bald_Jesse_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1800,,https://ops.alertcalifornia.org/,,Humboldt,,0,-123.875832,40.537842,758de8a6-b2e7-47c6-a08f-0dfcbbb5d869,https://ops.alertcalifornia.org/cam-console/1800,226.33,0,1,61.54,,,4009185953.6875,292631.149001153,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
34,,Axis-TecuyaMtn2,Fire,Tecuya_Mtn_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2440,,https://ops.alertcalifornia.org/,,Kern,,0,-118.996475,34.833595,9dabf245-dc16-4c77-a32f-a8e96ae418e5,https://ops.alertcalifornia.org/cam-console/2440,59.6,0,1,61.54,,,3747960094.48828,281554.834280402,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
35,,Axis-EdgewoodTahoeResort,Fire,Edgewood_Tahoe_Resort,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/12192,,https://ops.alertcalifornia.org/,,Douglas,,0,-119.946198,38.970798,25fb497f-37ac-4973-9fd2-4f78d4712d30,https://ops.alertcalifornia.org/cam-console/12192,3.25,0,1,62.81,,,4005732436.90234,290694.970775369,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
36,,Axis-MtAllison,Fire,Mt_Allison,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2147,,https://ops.alertcalifornia.org/,,Alameda,,0,-121.871536,37.499161,83a479aa-a68e-4050-b838-a408098bf618,https://ops.alertcalifornia.org/cam-console/2147,124.1,0,1,61.54,,,3844305506.17578,285663.411127121,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
37,,Axis-SchillHill1,Fire,Schill_Hill_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2373,,https://ops.alertcalifornia.org/,,Kern,,0,-118.806786,35.635582,4ad27242-153e-418d-b326-2e2bf2452b96,https://ops.alertcalifornia.org/cam-console/2373,315,0,1,65.33,,,3915671489.22266,288239.545825323,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
38,,Axis-Crest2,Fire,Crest_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1910,,https://ops.alertcalifornia.org/,,SanDiego,,0,-116.876999,32.8046,6de6d03a-b302-4829-bd69-b59215d6e00d,https://ops.alertcalifornia.org/cam-console/1910,89.65,0,257,34.42,,,2343981043.22656,228772.96417872,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
39,,Axis-SanClementeNorth,Fire,San_Clemente_North,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2346,,https://ops.alertcalifornia.org/,,Orange,,0,-117.597389,33.431427,cc095ede-39c5-4b13-b22d-75b212f316ad,https://ops.alertcalifornia.org/cam-console/2346,67.31,0,1,62.81,,,3726321305.79297,280966.225826328,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
40,,Axis-Hwy101Blueberry2,Fire,HWY_101_Blueberry_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2034,,https://ops.alertcalifornia.org/,,SantaBarbara,,0,-120.186157,34.557392,c2d6ae18-1c39-46cd-af18-72454ead61e2,https://ops.alertcalifornia.org/cam-console/2034,60.29,0,1,61.54,,,3735115405.19922,281010.722589437,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
41,,Axis-ChinoHills2,Fire,Chino_Hills_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1895,,https://ops.alertcalifornia.org/,,Orange,,0,-117.738297,33.913837,6f1eaf72-1863-4bc7-8c56-1c5b3b0e6c45,https://ops.alertcalifornia.org/cam-console/1895,119.78,0,1,61.54,,,3678330421.16016,278546.211190524,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
42,,Axis-OrovilleCaStParks,Fire,Oroville_Ca_St_Parks,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2229,,https://ops.alertcalifornia.org/,,Butte,,0,-121.466599,39.535,4eceea56-55c6-4b52-b133-a67d389ad566,https://ops.alertcalifornia.org/cam-console/2229,315,0,1,62.81,,,4042056707.21094,293803.847365548,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
43,,Axis-Outingdale,Fire,Outingdale,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2233,,https://ops.alertcalifornia.org/,,ElDorado,,0,-120.711929,38.63007,2f69bdd5-bbf1-42b8-9ca6-0fff49227864,https://ops.alertcalifornia.org/cam-console/2233,349,0,1,65.33,,,4072872134.85938,292348.966577968,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
44,,Axis-SEPopeValley1,Fire,SE_Pope_Valley,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2604,,https://ops.alertcalifornia.org/,,Napa,,0,-122.3265,38.5517,5a134195-7258-4c2b-99a7-8f339860cf1f,https://ops.alertcalifornia.org/cam-console/2604,356.01,0,2,61.35,,,3928753546.50781,288394.898426288,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
45,,Axis-SierraVista2,Fire,Sierra_Vista_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2386,,https://ops.alertcalifornia.org/,,Calaveras,,0,-120.614334,38.229866,d40f1445-43eb-4f26-9ee5-a5fdd9d6fe39,https://ops.alertcalifornia.org/cam-console/2386,59.3,0,1,61.54,,,3918463289.05078,288984.567352321,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
